model_name,battery_power,battery_capacity,wind_turbines,wind_capacity,solar_panels,solar_capacity,total_demand_capacity,excess_capacity,shortcoming_capacity,demand_met_by_renewables_capacity
P20_C0_T0_S0,20,0,0,0.0,0,0.0,44.82345,0.0,44.82345,0.0
P20_C0_T0_S1000,20,0,0,0.0,1000,4.0,44.82345,0.0,39.45806373130009,11.970043066073465
P20_C0_T0_S2000,20,0,0,0.0,2000,8.0,44.82345,0.02394821200921326,34.11662567460941,23.886658267916882
P20_C0_T0_S4000,20,0,0,0.0,4000,16.0,44.82345,5.4691986839798705,28.83110360918026,35.67852628661948
P20_C0_T0_S6000,20,0,0,0.0,6000,24.0,44.82345,14.610720349744867,27.241852737545454,39.224105378891075
P20_C0_T0_S8000,20,0,0,0.0,8000,32.0,44.82345,24.476823280344853,26.37718313074564,41.15316172506659
P20_C0_T5_S0,20,0,5,11.5,0,0.0,44.82345,7.890632889559168,18.07099272783646,59.68406553302689
P20_C0_T5_S1000,20,0,5,11.5,1000,4.0,44.82345,10.221058077281032,15.036031646858426,66.45498807686954
P20_C0_T5_S2000,20,0,5,11.5,2000,8.0,44.82345,13.405648548837203,12.855235849714692,71.32028915731678
P20_C0_T5_S4000,20,0,5,11.5,4000,16.0,44.82345,22.432714248009898,11.151529011487584,75.12121665894172
P20_C0_T5_S6000,20,0,5,11.5,6000,24.0,44.82345,32.594492940531794,10.582535166609674,76.39062774817718
P20_C0_T5_S8000,20,0,5,11.5,8000,32.0,44.82345,43.002416136360154,10.259685825038229,77.11089658418031
P20_C0_T7_S0,20,0,7,16.099999999999998,0,0.0,44.82345,18.794762639457257,15.117886413045468,66.27237213323502
P20_C0_T7_S1000,20,0,7,16.099999999999998,1000,4.0,44.82345,21.704353556872793,12.662091061761103,71.75119036629019
P20_C0_T7_S2000,20,0,7,16.099999999999998,2000,8.0,44.82345,25.28248161157791,10.874832847766315,75.73851890524644
P20_C0_T7_S4000,20,0,7,16.099999999999998,4000,16.0,44.82345,34.564331617696524,9.425910316485124,78.97102896701365
P20_C0_T7_S6000,20,0,7,16.099999999999998,6000,24.0,44.82345,44.80756204804297,8.938368209431767,80.05872325884829
P20_C0_T7_S8000,20,0,7,16.099999999999998,8000,32.0,44.82345,55.262080007577566,8.662113631566568,80.67504033811194
P20_C0_T10_S0,20,0,10,23.0,0,0.0,44.82345,37.17991393397642,12.717183610531007,71.62828026282892
P20_C0_T10_S1000,20,0,10,23.0,1000,4.0,44.82345,40.5797082804767,10.751591688331388,76.01346686091458
P20_C0_T10_S2000,20,0,10,23.0,2000,8.0,44.82345,44.46299416559869,9.26949130475346,79.319995884401
P20_C0_T10_S4000,20,0,10,23.0,4000,16.0,44.82345,53.94713894206136,8.02286354381634,82.10119135448892
P20_C0_T10_S6000,20,0,10,23.0,6000,24.0,44.82345,64.25430035738596,7.599252421741137,83.0462572119256
P20_C0_T10_S8000,20,0,10,23.0,8000,32.0,44.82345,74.74438640819962,7.3585659351549975,83.58322276586252
P20_C0_T12_S0,20,0,12,27.599999999999998,0,0.0,44.82345,50.0491489348073,11.729182546672813,73.83248601642039
P20_C0_T12_S1000,20,0,12,27.599999999999998,1000,4.0,44.82345,53.646461404129504,9.961108747295112,77.77701460441997
P20_C0_T12_S2000,20,0,12,27.599999999999998,2000,8.0,44.82345,57.65275202266515,8.602013097130843,80.80912313280025
P20_C0_T12_S4000,20,0,12,27.599999999999998,4000,16.0,44.82345,67.21626214532577,7.43475068239168,83.41325649321575
P20_C0_T12_S6000,20,0,12,27.599999999999998,6000,24.0,44.82345,77.54848727032021,7.036203269986305,84.30240583893853
